strain	country	genotype	accession	extra
1973.5	Thailand	3V*	GQ868593	.
1977.5	BKK	3II	D77x191	S5
1980.5	BKK	3II	D80x141	S14
1980.5_2	BKK	3II	D80x679	S4
1980.538	BKK	3II*	D80x514	S73
1983.5	BKK	3II	D83x052	S168
1983.5_2	BKK	3II	D83x146	S109
1983.5_3	BKK	3II*	D83x280	S100
1983.5_4	Thailand	3II	KJ737430	.
1983.622	BKK	3II	D83x144	S69
1984.5	BKK	3II	D84x067	S3
1984.5_2	BKK	3II*	D84x348	S77
1985.5	BKK	3II	D85x249	S44
1986.5	BKK	3II	D86x060	S184
1986.5_2	BKK	3II	D86x086	S113
1986.956	BKK	3II	D86x562	S103
1987.203	BKK	3II	D87x262	S163
1987.37	BKK	3II	D87x500	S192
1987.37_2	BKK	3II	D87x522	S167
1987.370	BKK	3II	D87x486	S151
1987.5	BKK	3II	D87x010	S2
1987.5_2	BKK	3II	D87x031	S118
1987.5_3	BKK	3II	D87x084	S190
1987.5_4	BKK	3II	D87x104	S172
1987.5_5	BKK	3II	D87x1135	S145
1987.5_6	BKK	3II	D87x115	S128
1987.5_7	BKK	3II	D87x1225	S162
1987.5_8	BKK	3II	D87x1289	S150
1987.5_9	BKK	3II	D87x1380	S104
1987.5_10	BKK	3II	D87x248	S107
1987.5_11	BKK	3II	D87x390	S115
1987.537	BKK	3II	D87x796	S180
1988.708	BKK	3II	D88x345	S188
1988.708_2	BKK	3II	D88x354	S120
1988.79	BKK	3II	D88x370	S108
1988.79_2	BKK	3II	D88x390	S154
1988.79_3	BKK	3II	D88x404	S178
1994.019	BKK	3II	00092/94	.
1994.027	BKK	3II	00098/94	.
1994.036	BKK	3II	00125/94	.
1994.038	BKK	3II	00128/94	.
1994.038_2	BKK	3II	00130/94	.
1994.112	BKK	3II	00255/94	.
1994.359	BKK	3II	00515/94	.
1994.5	Thailand	3XX	AY876494/94	.
1994.5_2	Thailand	3XX	AY923865/94	.
1994.5_3	KPP	3II	30017/94	.
1994.5_4	KPP	3II	30055/94	.
1994.5_5	KPP	3II	30060/94	.
1994.5_6	KPP	3II	30301/94	.
1994.5_7	KPP	3II	30334/94	.
1994.5_8	KPP	3II	30362/94	.
1994.5_9	KPP	3II	30520/94	.
1994.5_10	KPP	3II	30551/94	.
1994.5_11	KPP	3II	30590/94	.
1994.5_12	Thailand	3II	KJ737429	.
1994.501	BKK	3II	00705/94	.
1994.507	BKK	3II	00715/94	.
1994.584	BKK	3II	00800/94	.
1994.6	BKK	3II	00831/94	.
1994.608	BKK	3II	00907/94	.
1994.614	BKK	3II	00913/94	.
1994.644	KPP	3II	30677/94	.
1994.666	BKK	3II	00950/94	.
1994.732	BKK	3II	01096/94	.
1994.764	BKK	3II	01146/94	.
1994.805	BKK	3II	01311/94	.
1994.855	BKK	3II	01388/94	.
1994.942	BKK	3II	01494/94	.
1994.967	BKK	3II	01530/94	.
1994.984	BKK	3II	00031/95	.
1995.063	BKK	3II	00081/95	.
1995.099	BKK	3II	00247/95	.
1995.178	BKK	3II	00344/95	.
1995.205	BKK	3II	00422/95	.
1995.282	BKK	3II	00530/95	.
