,X,Y,Z
hDenV4/Colombia/ANT-UDS-0179595/2013,-0.021570540618845533,0.012017827547122406,-0.01399124994480747
hDenV4/Colombia/ANT-UDS-0676596/2013,-0.021570540618845533,0.012017827547122406,-0.01399124994480747
hDenV4/Colombia/ANT-UDS-0678597/2013,-0.021570540618845533,0.012017827547122406,-0.01399124994480747
hDenV4/Colombia/ANT-UDS-0681598/2013,-0.021570540618845533,0.012017827547122406,-0.01399124994480747
hDenV4/Colombia/ANT-UDS-0728599/2013,-0.021570540618845533,0.012017827547122406,-0.01399124994480747
hDenV4/Colombia/ANT-UDS-0732600/2013,-0.021570540618845533,0.012017827547122406,-0.01399124994480747
hDenV4/Colombia/ANT-UDS-1723601/2013,-0.021570540618845533,0.012017827547122406,-0.01399124994480747
hDenV4/Colombia/CES-UR-P201080317/2015,-0.021570540618845533,0.012017827547122406,-0.01399124994480747
hDenV4/Colombia/CUN-UEB-032/2014,-0.025155633711300356,0.01381062355364028,-0.01609526169985013
hDenV4/Colombia/NSA-BROAD-0000022/2005,-0.021570540618845533,0.012017827547122406,-0.01399124994480747
hDenV4/Colombia/NSA-UIS-0000003/2005,-0.020073456027258286,0.011247293089710932,-0.013142971855061273
hDenV4/Colombia/NSA-UIS-0000004/2005,-0.020073456027258286,0.011247293089710932,-0.013142971855061273
hDenV4/Colombia/RIS-INS-426553/2013,-0.01849505268269031,0.01060343582230732,-0.012331042658925736
hDenV4/Colombia/SAN-BROAD-0000027/2001,-0.03416389842294054,0.018866545671140624,-0.019641951299579064
hDenV4/Colombia/SAN-BROAD-0000028/2001,-0.044710452267181545,0.025789426379525197,-0.022748571756290126
hDenV4/Colombia/SAN-BROAD-0000039/2001,-0.044710452267181545,0.025789426379525197,-0.022748571756290126
hDenV4/Colombia/SAN-BROAD-0000047/2004,-0.020073456027258286,0.011247293089710932,-0.013142971855061273
hDenV4/Colombia/SAN-BROAD-0000051/2004,-0.020073456027258286,0.011247293089710932,-0.013142971855061273
hDenV4/Colombia/SAN-BROAD-0000056/2001,-0.044710452267181545,0.025789426379525197,-0.022748571756290126
hDenV4/Colombia/SAN-UIS-0000021/2004,-0.021570540618845533,0.012017827547122406,-0.01399124994480747
hDenV4/Colombia/SAN-UIS-0000022/2001,-0.044710452267181545,0.025789426379525197,-0.022748571756290126
hDenV4/Colombia/SAN-UIS-0000024/2004,-0.044710452267181545,0.025789426379525197,-0.022748571756290126
hDenV4/Colombia/SAN-UIS-0000025/2004,-0.021570540618845533,0.012017827547122406,-0.01399124994480747
hDenV4/Colombia/SAN-UIS-0000026/2001,-0.025308008099400828,0.0139599061480255,-0.01594481438864236
hDenV4/Colombia/SAN-UIS-0000027/2001,-0.03416389842294054,0.018866545671140624,-0.019641951299579064
hDenV4/Colombia/SAN-UIS-0000035/2015,-0.27175041327853355,0.37670165786775267,0.1793218445480062
hDenV4/Colombia/SAN-UIS-0000039/2016,-0.27175041327853355,0.37670165786775267,0.1793218445480062
hDenV4/Colombia/SAN-UIS-0000042/2016,-0.021570540618845533,0.012017827547122406,-0.01399124994480747
hDenV4/Colombia/SAN-UR-F14100091/2014,-0.021570540618845533,0.012017827547122406,-0.01399124994480747
hDenV4/Colombia/SAN-UR-LV111117/2014,-0.021570540618845533,0.012017827547122406,-0.01399124994480747
hDenV4/Colombia/SAN-UR-LV121101/2010,-0.021570540618845533,0.012017827547122406,-0.01399124994480747
hDenV4/Colombia/SAN-UR-LV122006/2009,-0.021570540618845533,0.012017827547122406,-0.01399124994480747
hDenV4/Colombia/SAN-UR-LV141007/2010,-0.021570540618845533,0.012017827547122406,-0.01399124994480747
hDenV4/Colombia/SAN-UR-LV141010/2010,-0.021570540618845533,0.012017827547122406,-0.01399124994480747
hDenV4/Colombia/SAN-UR-LV141021/2010,-0.021570540618845533,0.012017827547122406,-0.01399124994480747
hDenV4/Colombia/SAN-UR-LV192075/2009,-0.021570540618845533,0.012017827547122406,-0.01399124994480747
hDenV4/Colombia/SAN-UR-P200120105/2015,-0.021570540618845533,0.012017827547122406,-0.01399124994480747
hDenV4/Colombia/SAN-UR-P202090076/2015,-0.021570540618845533,0.012017827547122406,-0.01399124994480747
hDenV4/Colombia/VAC-LSPVAC-2401630/2024,-0.021570540618845533,0.012017827547122406,-0.01399124994480747
hDenV4/Colombia/VAC-LSPVAC-2403871/2024,-0.021570540618845533,0.012017827547122406,-0.01399124994480747
hDenV4/Colombia/un-CDC-039/2006,-0.044710452267181545,0.025789426379525197,-0.022748571756290126
hDenV4/Colombia/un-INS-480579/2016,-0.021570540618845533,0.012017827547122406,-0.01399124994480747
hDenV4/Colombia/un-OUCRU-401211/2013,-0.021570540618845533,0.012017827547122406,-0.01399124994480747
hDenV4/Colombia/un-OUCRU-401213/2013,-0.021570540618845533,0.012017827547122406,-0.01399124994480747
hDenV4/Colombia/un-OUCRU-401215/2013,-0.020526441702825537,0.010675397047726206,-0.012800900988257
hDenV4/Colombia/un-OUCRU-594/2013,-0.021570540618845533,0.012017827547122406,-0.01399124994480747
hDenV4/Colombia/un-OUCRU-595/2013,-0.021570540618845533,0.012017827547122406,-0.01399124994480747
hDenV4/Colombia/un-OUCRU-596/2013,-0.020526441702825537,0.010675397047726206,-0.012800900988257
