yr,loc,sero,strainID,coord1,coord2,coord3,diff_AA,diff_yrs,is_missAG,idx_MapAGs
1994,BKK,1,00066/94,-5.296261365996861,-1.4435584238924273,0.5384617475376545,5,2,2,8
1994,BKK,1,00168/94,-3.277052777731588,-0.01003201081680004,1.186140168437643,6,1,2,4
1994,BKK,1,00212/94,-3.277052777731588,-0.01003201081680004,1.186140168437643,8,1,2,4
1994,BKK,1,00263/94,-3.262130098672235,-0.1745868184250063,1.3142223743779202,2,1,2,5
1994,BKK,1,00350/94,-5.296261365996861,-1.4435584238924273,0.5384617475376545,8,2,2,8
1994,BKK,1,00395/94,-5.296261365996861,-1.4435584238924273,0.5384617475376545,8,2,2,8
1994,BKK,1,00424/94,-4.267501131509736,-1.3341627666848603,-0.17622240229546393,16,0,2,3
1994,BKK,1,00532/94,-4.800267080921467,-0.7957417233542167,0.6862842537207773,-10,-10,0,1
1994,BKK,1,00537/94,-4.267501131509736,-1.3341627666848603,-0.17622240229546393,6,0,2,3
1994,BKK,1,00650/94,-3.277052777731588,-0.01003201081680004,1.186140168437643,5,1,2,4
1994,BKK,1,00713/94,-3.288718085560758,0.4441176427170349,1.5013401944129796,2,1,2,6
1994,BKK,1,00740/94,-5.296261365996861,-1.4435584238924273,0.5384617475376545,7,2,2,8
1994,BKK,1,00817/94,-4.766770147227633,-1.505621218595518,-0.10449691837611837,-10,-10,0,2
1994,BKK,1,00821/94,-4.267501131509736,-1.3341627666848603,-0.17622240229546393,25,0,2,3
1994,BKK,1,00938/94,-5.296261365996861,-1.4435584238924273,0.5384617475376545,8,2,2,8
1994,BKK,1,01088/94,-3.277052777731588,-0.01003201081680004,1.186140168437643,0,1,2,4
1994,BKK,1,01308/94,-4.267501131509736,-1.3341627666848603,-0.17622240229546393,23,0,2,3
1994,BKK,1,01310/94,-3.262130098672235,-0.1745868184250063,1.3142223743779202,1,1,2,5
1994,BKK,1,01385/94,-5.296261365996861,-1.4435584238924273,0.5384617475376545,7,2,2,8
1994,BKK,1,01447/94,-5.296261365996861,-1.4435584238924273,0.5384617475376545,7,2,2,8
1994,BKK,1,01471/94,-3.277052777731588,-0.01003201081680004,1.186140168437643,8,1,2,4
1994,BKK,1,01476/94,-3.277052777731588,-0.01003201081680004,1.186140168437643,12,1,2,4
1994,BKK,1,01495/94,-4.267501131509736,-1.3341627666848603,-0.17622240229546393,-10,-10,0,3
1994,BKK,1,01533/94,-3.262130098672235,-0.1745868184250063,1.3142223743779202,0,1,2,5
1994,BKK,1,01723/94,-3.262130098672235,-0.1745868184250063,1.3142223743779202,6,1,2,5
1994,KPP,1,30031/94,-4.267501131509736,-1.3341627666848603,-0.17622240229546393,13,0,2,3
1994,KPP,1,30116/94,-4.267501131509736,-1.3341627666848603,-0.17622240229546393,22,0,2,3
1994,KPP,1,30156/94,-4.800267080921467,-0.7957417233542167,0.6862842537207773,2,0,2,1
1994,KPP,1,30182/94,-3.288718085560758,0.4441176427170349,1.5013401944129796,0,1,2,6
1994,KPP,1,30253/94,-4.267501131509736,-1.3341627666848603,-0.17622240229546393,10,0,2,3
1994,KPP,1,30262/94,-4.267501131509736,-1.3341627666848603,-0.17622240229546393,10,0,2,3
1994,KPP,1,30299/94,-4.267501131509736,-1.3341627666848603,-0.17622240229546393,10,0,2,3
1994,KPP,1,30515/94,-4.267501131509736,-1.3341627666848603,-0.17622240229546393,19,0,2,3
1994,KPP,1,30577/94,-3.277052777731588,-0.01003201081680004,1.186140168437643,3,1,2,4
1994,KPP,1,30620/94,-3.288718085560758,0.4441176427170349,1.5013401944129796,0,1,2,6
1994,KPP,1,30722/94,-4.800267080921467,-0.7957417233542167,0.6862842537207773,2,0,2,1
1994,KPP,1,30778/94,-5.296261365996861,-1.4435584238924273,0.5384617475376545,7,2,2,8
1994,KPP,1,30797/94,-3.288718085560758,0.4441176427170349,1.5013401944129796,1,1,2,6
1994,Thailand,1,AY732475,-3.262130098672235,-0.1745868184250063,1.3142223743779202,1,1,2,5
1994,Thailand,1,AY732480,-3.262130098672235,-0.1745868184250063,1.3142223743779202,3,1,2,5
1995,BKK,1,00207/95,-3.277052777731588,-0.01003201081680004,1.186140168437643,0,0,2,4
1995,BKK,1,00229/95,-3.277052777731588,-0.01003201081680004,1.186140168437643,-10,-10,0,4
1995,BKK,1,00257/95,-3.262130098672235,-0.1745868184250063,1.3142223743779202,-10,-10,0,5
1995,BKK,1,00288/95,-3.288718085560758,0.4441176427170349,1.5013401944129796,-10,-10,0,6
1995,BKK,1,00410/95,-3.8114831550056367,0.8690398516306514,1.6942285879698886,-10,-10,0,7
1995,BKK,1,00471/95,-4.267501131509736,-1.3341627666848603,-0.17622240229546393,20,1,2,3
1995,BKK,1,00487/95,-3.262130098672235,-0.1745868184250063,1.3142223743779202,0.9999999999999999,0,2,5
1995,BKK,1,00569/95,-3.288718085560758,0.4441176427170349,1.5013401944129796,0,0,2,6
1995,BKK,1,00582/95,-4.267501131509736,-1.3341627666848603,-0.17622240229546393,6,1,2,3
1995,BKK,1,00590/95,-4.267501131509736,-1.3341627666848603,-0.17622240229546393,6,1,2,3
1995,BKK,1,00595/95,-3.277052777731588,-0.01003201081680004,1.186140168437643,3,0,2,4
1995,BKK,1,00637/95,-4.267501131509736,-1.3341627666848603,-0.17622240229546393,7,1,2,3
